Player,Season,VORP,DWS,PER,FTA,TOV,PTS,Rookie,RookieNBA_pred_proba,Class
Tony Battie,1997,-0.7,0.8,13.3,1.6,1.5,8.4,1,0.07,0
Tracy McGrady,1997,0.8,0.7,17.4,1.7,1.0,7.0,1,0.07,0
Antonio Daniels,1997,-1.5,-0.4,9.9,2.3,2.2,7.8,1,0.07,0
Rodrick Rhodes,1997,-0.9,0.6,7.7,3.1,1.7,5.8,1,0.03,0
Anthony Johnson,1997,-1.4,0.8,8.6,1.4,1.6,7.5,1,0.03,0
Jacque Vaughn,1997,-0.6,0.2,6.9,1.5,1.2,3.1,1,0.02,0
Rick Brunson,1997,-0.1,0.7,9.6,1.6,1.4,4.3,1,0.01,0
Chris Anstey,1997,-0.1,0.9,13.2,1.8,1.0,5.9,1,0.01,0
Jerald Honeycutt,1997,-0.1,0.5,11.8,1.5,1.3,6.4,1,0.01,0
God Shammgod,1997,-0.2,0.1,9.2,1.5,1.1,3.1,1,0.01,0
Eric Washington,1997,-0.8,-0.2,9.6,1.3,1.1,7.7,1,0.0,0
Adonal Foyle,1997,-0.6,0.9,9.2,1.1,0.9,3.0,1,0.0,0
Keith Closs,1997,0.0,0.5,14.0,1.3,0.7,4.0,1,0.0,0
Tariq Abdul-Wahad,1997,-0.7,0.6,10.1,2.1,1.1,6.4,1,0.0,0
John Thomas,1997,-0.4,0.4,9.1,1.0,0.9,2.8,1,0.0,0
Paul Pierce,1998,2.3,2.0,19.2,4.1,2.4,16.5,1,0.98,1
Vince Carter,1998,2.1,1.4,19.6,5.4,2.2,18.3,1,0.97,1
Jason Williams,1998,0.5,1.3,12.8,2.1,2.9,12.8,1,0.97,1
Cuttino Mobley,1998,0.4,0.8,12.2,2.2,1.6,9.9,1,0.9,2
Antawn Jamison,1998,0.5,1.4,16.6,3.3,1.4,9.6,1,0.85,2
Mike Bibby,1998,0.1,0.2,14.8,3.4,2.9,13.2,1,0.84,1
Matt Harpring,1998,0.1,1.5,13.0,2.9,1.5,8.2,1,0.79,1
Michael Dickerson,1998,0.0,0.2,11.5,1.4,1.3,10.9,1,0.72,2
Michael Olowokandi,1998,-1.0,0.5,11.8,2.6,1.9,8.9,1,0.69,2
